Till. programmering,Onsdag,8:10,09:30,11
Datalagring,Onsdag,9:35,11:05,Te4
Datalagring,Måndag,9:30,11:00,Te4
Webbutveckling 1,Måndag,12:00,13:30,11
Webbserv. prog 1,Onsdag,15:30,17:00,11
Webbutveckling 1,Torsdag,13:35,15:05,11
Webbserv. prog 1,Torsdag,15:35,17:00,11
Webbutveckling 2,Tisdag,12:00,13:00,11
Webbutveckling 2,Torsdag,8:10,09:40,11
Till. programmering,Torsdag,9:45,11:00,11
Till. programmering,Torsdag,12:00,13:30,11
Programmering 2,Tisdag,9:40,11:00,11
Till. programmering,Fredag,8:10,11:00,11
